objectid,state,admin1_pcode,dt,dt_pcode,township,admin3_pcode,self_admin,st_rg,p_code_v,floodyears,no_of_flo,storm_surg,year_2008_storm_surge,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,flood_prob,flood_count
57,Shan (South),MMR014,Loilen,MMR014D002,Monghsu,MMR014017,NA,State,9.3,2018,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06666666666666667,1
210,Shan (East),MMR016,Kengtung,MMR016D001,Mongkhet,MMR016002,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
163,Shan (North),MMR015,Mongmit,MMR015D008,Mongmit,MMR015017,NA,State,9.3,"2015,2016",2,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.13333333333333333,2
114,Shan (East),MMR016,Kengtung,MMR016D001,Mongping,MMR016007,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
0,Shan (East),MMR016,Monghsat,MMR016D002,Mongton,MMR016008,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
63,Shan (North),MMR015,Lashio,MMR015D001,Mongyai,MMR015003,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
119,Shan (East),MMR016,Kengtung,MMR016D001,Mongyang,MMR016003,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
208,Shan (East),MMR016,Tachileik,MMR016D003,Mongyawng,MMR016011,NA,State,9.3,2015,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666666666666667,1
99,Bago (West),MMR008,Thayarwady,MMR008D002,Monyo,MMR008013,NA,Region,9.3,"2015,2016,2017,2018,2019,2020,2021",7,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.4666666666666667,7
160,Sagaing,MMR005,Monywa,MMR005D003,Monywa,MMR005012,NA,Region,9.3,"2011,2015,2017,2020",4,NA,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.26666666666666666,4
