state,admin1_pcode,township,admin3_pcode,total_population_2021proj,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,partners_2022
Shan (South),MMR222,Mongnai,MMR014019,43815.29198563354,16124,50,NA,NA
Shan (South),MMR222,Mawkmai,MMR014020,37564.53550142687,6000.108914943583,0,NA,NA
Shan (South),MMR222,Mongpan,MMR014021,28805.03245814827,10600,50,NA,NA
Shan (South),MMR222,Loilen,MMR014011,138388.81539341103,50927,50,NA,NA
Shan (South),MMR222,Laihka,MMR014012,54253.588674066115,19965,50,NA,NA
Shan (South),MMR222,Nansang,MMR014013,129949.29419646224,47821,1000,NA,NA
Shan (South),MMR222,Kunhing,MMR014014,59333.30048455188,21835,50,NA,NA
Shan (South),MMR222,Kyethi,MMR014015,82621.9792377435,31215,5000,NA,NA
Shan (South),MMR222,Mongkaing,MMR014016,82544.20587231612,32294,50,NA,NA
Shan (South),MMR222,Monghsu,MMR014017,80830.96973675858,29746,50,NA,NA
Shan (South),MMR222,Hopong,MMR014003,124824.02941479757,45935,50,NA,NA
Shan (South),MMR222,Hsihseng,MMR014004,170025.90940119364,63075,50,NA,NA
Shan (South),MMR222,Pinlaung,MMR014009,213606.77024246744,78645,50,NA,NA
Shan (South),MMR222,Taunggyi,MMR014001,486701.276652264,179129,200,2508,2
Shan (South),MMR222,Nyaungshwe,MMR014002,210440.28322149537,77442,20,6681,2
Shan (South),MMR222,Kalaw,MMR014005,206747.15941177213,76083,100,495,1
Shan (South),MMR222,Lawksawk,MMR014008,183022.9498121872,67352,20,NA,NA
Shan (South),MMR222,Pekon,MMR014010,115093.4703517542,48656,150,11631,3
Tanintharyi,MMR006,Dawei,MMR006001,156104.6855057658,37777,5667.399944364489,314,1
Tanintharyi,MMR006,Launglon,MMR006002,125675.93475263123,30414,4561.96356877042,1682,2
Tanintharyi,MMR006,Thayetchaung,MMR006003,112233.8346799912,27161,4073.911803025714,5935,1
Tanintharyi,MMR006,Yebyu,MMR006004,130260.37599431547,31675,4750.808359136868,129,1
Tanintharyi,MMR006,Kawthoung,MMR006009,148728.7911632599,35992,5399.144884661607,1369,1
Tanintharyi,MMR006,Bokpyin,MMR006010,86800.59531694955,21006,3151.1383960730022,NA,NA
Tanintharyi,MMR006,Myeik,MMR006005,302183.2957380707,73128,10968.746370572688,510,1
Tanintharyi,MMR006,Kyunsu,MMR006006,182435.48113600473,44149,6621.592059895221,NA,NA
Tanintharyi,MMR006,Palaw,MMR006007,138077.08199467565,33964,5095.369450381044,NA,NA
Tanintharyi,MMR006,Tanintharyi,MMR006008,113498.91102819463,27467,4119.989529703143,NA,NA
Yangon,MMR013,Thingangyun,MMR013009,243788.8109873174,68261.25,68261.13292380996,NA,NA
Yangon,MMR013,Yankin,MMR013010,82563.23088085231,23117.5,23118.295357134808,NA,NA
Yangon,MMR013,South Okkalapa,MMR013011,187509.9813789108,52502.5,52503.20521470707,NA,NA
